Client_ID,Age,Annual_Income,Equity_Investment,Bond_Investment,MutualFunds,Avg_Return_Percent,Volatility_Percent
224,60,422938,530332,182596,796710,7.09,7.17
225,59,420891,498556,602053,505952,6.38,7.98
226,61,1554305,787084,710359,499166,6.82,6.52
227,50,926859,604263,707723,243366,6.22,10.39
228,53,566964,393927,180765,517638,6.66,10.92
229,48,1242837,234864,347048,739426,6.51,4.96
230,36,1596799,681135,297522,159937,8.0,2.69
231,47,1755283,694381,509478,726675,6.62,9.29
232,59,1930775,474534,712708,192762,5.83,11.69
233,25,501260,741348,253547,762605,7.54,4.39
234,43,1725647,199897,780883,498208,5.72,6.31
235,25,1837394,518388,564263,659550,6.55,6.9
236,58,1465359,217960,411271,135748,6.22,5.64
237,50,1972659,323436,359949,227531,7.05,2.25
238,61,443740,713960,315778,793430,7.34,4.88
239,30,545910,212690,291537,391749,6.34,7.24
240,30,1836200,118686,438129,746240,5.92,6.82
241,48,767357,695832,141030,165559,7.94,8.62
242,25,1829575,118507,516324,490160,6.04,3.59
243,39,1491451,628340,503116,427320,6.46,11.02
244,45,415459,362773,486218,224693,6.28,8.23
245,58,564285,298815,111286,364394,7.03,8.44
246,42,1200360,207380,119647,506035,6.43,10.31
247,64,596634,152681,407184,192348,5.47,10.59
248,46,648130,672742,582630,691279,6.72,7.16
249,53,1831865,686097,340061,123156,7.14,10.59
250,59,1642534,694980,789982,398494,6.53,7.36
251,51,445798,243068,434988,266115,5.7,11.49
252,34,971029,672800,506191,661994,6.42,11.25
253,32,1438148,104089,124986,377565,6.36,7.42
254,63,1003571,315736,763115,110425,6.25,2.63
255,32,1144021,375126,411910,169862,6.31,10.03
256,58,989541,108895,402897,754001,5.42,11.97
257,49,874615,145510,422347,386005,6.0,5.68
258,38,1155803,728066,767790,716672,6.85,4.45
259,43,1937824,527922,308913,752252,6.58,10.25
260,49,775552,274390,602461,563363,5.68,10.52
261,46,652371,280859,190421,307009,7.13,4.59
262,49,548642,214998,365204,148709,5.75,11.35
263,50,1738141,178163,312630,401438,5.86,10.4
264,40,1547354,208947,527884,395200,5.5,11.21
265,31,893022,709442,131342,463905,7.59,8.36
266,38,688994,724951,166358,683523,7.85,3.23
267,44,1189679,481691,377307,208544,7.09,5.53
268,62,1841980,733130,733773,437173,6.58,8.02
269,27,1876586,338867,642160,288647,6.35,4.41
270,46,474166,198942,440697,595809,5.87,9.03
271,65,792263,555049,598418,439998,6.97,3.19
272,29,1800619,771672,641714,744069,7.24,2.37
273,60,1347338,126464,335912,608121,6.5,2.23
274,44,1194670,774983,215647,765340,7.01,10.65
275,54,1137861,299240,372488,129400,6.49,7.03
276,43,1251837,736388,723545,493071,6.73,6.57
277,27,1400459,655380,333397,157819,7.84,2.89
278,42,1035002,730743,134307,173082,7.77,10.87
279,61,1774027,106129,520966,339903,5.3,9.5
280,61,1257025,571666,480352,790043,6.58,8.25
281,60,970417,386859,548661,601021,6.58,4.58
282,26,618783,464344,127482,633801,6.82,11.04
283,54,541782,313553,472742,646598,6.43,5.64
284,58,1107772,561915,796692,254871,6.85,2.12
285,35,1322617,426548,486658,410147,6.18,10.56
286,34,1372943,271922,751006,296603,5.98,5.04
287,44,521748,591729,786533,194877,6.69,4.39
288,43,885128,767889,482686,715655,6.86,8.2
289,34,1607825,579471,708051,440705,6.72,4.69
290,55,757459,512242,264140,765034,6.76,8.97
291,65,427761,392497,249755,616679,6.48,10.55
292,61,1264466,388985,471203,420483,6.39,7.87
293,26,1187769,774827,263620,204296,7.85,5.99
294,65,1466357,127540,786863,254551,5.33,6.5
295,48,825806,716716,387779,319576,7.02,9.41
296,56,447502,380684,130508,175049,7.68,6.05
297,27,475559,625357,373810,711568,7.27,3.89
298,50,510631,537429,507545,306484,6.67,7.75
299,29,1494250,215857,589674,130650,5.52,9.1
300,58,1394378,486502,665841,275337,6.13,9.59
301,51,1386688,605089,656051,480445,6.36,9.33
302,30,1305228,681145,352932,296387,6.98,10.3
303,48,1665168,157430,481255,421241,5.46,10.82
304,61,1606101,400571,212105,114176,7.66,4.1
305,59,1912334,548326,551636,798654,6.14,11.44
306,36,1230446,454495,451376,537228,7.03,2.85
307,52,830934,410735,666845,161194,6.21,7.04
308,54,642162,649703,500123,558836,7.08,4.71
309,45,1133298,520473,547232,242967,7.13,2.31
310,31,1614179,418298,593451,112102,6.84,2.21
311,37,1186230,318564,373027,383881,6.58,6.1
312,32,651766,118193,595172,394429,5.59,6.54
313,62,788105,499148,580166,449512,6.11,11.12
314,65,1781399,470589,392606,117065,6.66,9.76
315,64,1818124,300762,289383,796010,6.52,7.11
316,52,504904,290256,792035,724125,5.51,10.95
317,54,1414580,689103,313644,479603,7.76,2.13
318,36,489958,572832,691375,667756,5.99,11.79
319,60,1652707,188153,304926,125393,6.34,5.91
320,42,1654995,469211,270976,466732,6.84,8.75
321,39,1188534,407304,670152,340279,6.02,8.94
322,64,1513042,724109,441670,476689,7.08,7.08
323,45,1356771,158665,768728,585225,5.1,11.95
324,47,733839,217327,537494,380108,5.83,7.97
325,40,1216439,383206,727232,401371,6.28,5.19
326,54,1736709,314935,143045,549353,6.96,6.89
327,49,627440,465678,585432,485186,6.68,4.72
328,31,1619527,751625,664723,453755,6.86,6.34
329,62,1308312,104835,233797,425310,6.55,2.45
330,54,889695,793697,489571,502835,7.06,7.23
331,43,442711,264998,662713,381813,6.06,5.38
332,25,1811203,415275,287283,632920,7.27,2.33
333,47,1142520,360647,391700,730812,6.39,8.07
334,49,1368185,219604,727289,574068,5.34,11.4
335,53,432504,590994,392644,684811,6.64,9.49
336,39,1221501,613264,258846,798840,6.7,10.95
337,28,458418,445030,145415,129065,7.3,11.55
338,38,1274040,263001,585617,178086,5.51,11.19
339,32,1584376,604218,450779,761718,7.23,2.67
340,39,813841,438766,105337,623360,7.31,6.38
341,53,767212,464342,535060,548428,6.66,5.46
342,60,1397619,385790,713818,199162,5.71,10.86
343,57,1717847,512483,104528,733410,7.72,2.65
344,27,1130262,755736,652797,765977,6.77,6.76
345,56,1766925,783987,576925,726347,7.19,3.85
346,62,697550,751825,500073,668190,7.43,2.21
347,51,1297838,236225,671509,653459,5.71,8.84
348,28,1233560,292084,637138,673429,6.19,5.61
349,26,1790490,108748,155414,573170,5.99,10.25
350,43,1715214,584106,699706,711109,6.09,10.85
351,56,913481,510468,216917,303585,7.06,10.05
352,60,745271,509493,484831,456949,6.33,10.53
353,60,717699,487131,129231,265775,7.43,9.38
354,34,921744,623455,295601,157249,7.4,7.84
355,48,1787356,230887,396952,556394,6.54,3.72
356,29,916532,699226,546375,686991,6.38,11.41
357,52,897731,528662,411929,641910,7.02,4.65
358,34,834305,795174,479286,170043,6.94,10.5
359,42,1112143,212680,444416,772301,6.56,2.66
360,42,775621,478837,289754,218938,7.52,3.52
361,63,1674871,228160,760473,761884,5.45,10.68
362,28,411377,490349,220447,282701,7.69,3.46
363,43,1746534,395932,226377,163914,7.42,5.14
364,62,598054,349629,467638,500177,6.37,7.18
365,64,442115,325552,208172,482885,6.48,10.75
366,30,514159,578791,150191,590595,7.1,9.93
367,34,486147,407108,672683,531209,6.21,7.17
368,59,1000476,718786,106806,496195,8.24,2.25
369,49,1671496,774884,178480,579926,7.96,3.25
370,39,928753,245306,449036,588938,5.79,10.84
371,43,962414,194632,532147,606671,6.06,5.77
372,32,1320003,411483,400700,365371,6.22,11.49
373,44,625049,154523,500069,548671,5.39,11.61
374,64,676376,639421,411313,461938,7.35,3.72
375,33,1567025,538770,224277,319982,7.64,4.34
376,51,1637642,262977,221690,542728,6.5,8.37
377,49,1331270,487140,493061,306578,6.54,8.29
378,64,735082,324839,233461,354398,6.55,10.11
379,46,1363561,442962,379617,572604,6.67,7.37
380,30,1095570,704657,370268,690219,7.34,4.43
381,25,1927642,183028,464302,678237,6.51,2.03
382,45,1484099,478606,227653,698135,7.35,3.46
383,64,1174952,252404,519583,451821,5.68,10.85
384,46,1197632,403041,645385,104631,6.35,5.77
385,51,400807,689105,233155,737359,6.84,11.27
386,48,1917965,396404,276206,553945,7.01,5.06
387,32,1265376,310404,406828,421079,6.81,2.97
388,26,554825,502361,695186,165481,6.88,2.09
389,34,1900390,305553,529956,571697,6.47,4.29
390,52,743847,493620,447764,701670,6.89,4.67
391,29,1434130,568024,154948,350714,7.75,5.48
392,52,1401810,321725,220110,481417,7.19,3.23
393,28,1053221,798314,179025,130449,7.67,11.68
394,65,1825615,194569,393705,228275,5.63,11.24
395,51,647042,518562,401858,606019,7.08,4.15
396,60,653790,362046,323388,562831,6.89,4.6
397,49,1259017,448186,411565,356487,6.8,6.26
398,29,1864508,527546,191138,302501,7.29,8.88
399,54,1011209,163358,487265,574750,6.21,3.98
400,32,1024699,560175,777920,458352,6.73,3.39
401,26,1045273,594923,637416,757632,6.92,3.34
402,28,1388274,763192,233623,668299,7.15,9.46
403,30,1657495,732743,366074,137648,7.39,7.95
404,34,1022214,557028,262949,681709,7.03,7.35
405,49,1491055,603087,541117,374376,6.4,10.75
406,65,835746,330605,343968,762685,6.34,8.74
407,41,446083,136356,485177,232705,5.48,8.58
408,49,572866,572981,468539,285220,7.34,2.52
409,64,969349,766695,766603,428249,6.97,4.24
410,33,1003936,673540,112828,521383,8.04,3.29
411,37,590942,522468,120062,223740,7.6,9.33
412,53,1966468,555634,655699,492367,6.29,9.19
413,53,1796165,694758,208943,171422,7.7,8.48
414,47,740340,144790,194963,393170,5.95,11.15
415,45,1860931,409064,520878,310947,6.21,9.4
416,28,799210,585244,605164,106069,6.6,8.2
417,58,704788,563861,226856,547880,7.18,7.42
418,42,558836,693011,100452,491589,7.99,4.73
419,33,1187258,413060,736161,478502,6.31,5.45
420,45,1327468,774909,248462,667974,7.75,3.27
421,51,1868996,507771,713496,112423,6.64,4.36
422,61,1087781,679252,682404,410965,6.84,5.41
423,35,1062284,607401,660060,297285,6.99,3.28
424,35,504445,269024,163031,215728,7.14,6.06
425,26,1358204,757928,577043,177565,6.61,11.29
426,57,1294804,405857,551965,615266,5.94,11.32
427,61,1805304,625822,221738,256475,7.55,7.45
428,25,1030910,208390,385008,559455,6.1,7.77
429,64,1897294,489065,616471,305377,6.67,5.01
430,50,1712865,551264,105086,162910,8.34,4.18
431,57,1700577,364069,646998,107703,6.11,7.11
432,44,1713489,300996,500152,515455,6.52,4.03
433,48,412570,452770,299546,310924,6.82,8.96
434,53,615481,606708,596660,320478,7.1,3.08
435,64,524575,724375,611300,345446,7.35,2.16
436,49,1671802,680313,765148,177970,6.24,10.73
437,61,1558597,548797,782856,286969,6.49,5.59
438,31,1857434,109945,728651,670706,5.36,8.93
439,27,1620734,316730,587723,173986,6.13,6.62
440,31,1015313,338049,758406,713679,6.51,2.15
441,36,1903741,731451,299313,447936,6.9,11.78
442,26,718705,674961,715722,189953,6.22,11.54
443,61,1409215,655572,795095,507094,6.08,11.12
444,50,1413982,570408,629194,154935,6.57,7.62
445,62,1261406,602139,185703,632625,7.41,5.97
446,61,798597,646838,242807,454779,6.94,11.42
447,42,901832,499123,316097,134131,7.63,2.77
448,39,774935,658272,288484,333411,7.4,6.9
449,50,1617686,475837,786242,291289,5.95,9.54
450,44,433383,513674,587112,699626,7.0,2.08
451,53,981163,458975,418807,519720,6.97,4.14
452,61,834604,476929,297260,567502,6.58,10.39
453,34,1937402,452530,492536,508282,6.71,5.42
454,37,1063631,268457,691042,174591,5.32,11.72
455,57,962768,723048,647914,157751,7.23,3.41
456,27,1089967,407334,761665,100570,5.84,9.22
457,58,1360876,712017,155585,117898,8.52,3.28
458,27,1407522,138015,449973,467881,6.34,2.04
459,57,678599,174339,404302,294106,5.86,8.15
460,51,560546,105120,754214,107745,5.34,4.29
461,33,441697,219428,285726,228290,6.68,4.4
462,61,1489036,479198,430982,601421,6.4,9.78
463,50,975698,625391,666350,269497,6.7,6.53
464,54,672894,156559,623390,614461,5.38,10.58
465,37,934907,410041,122231,745998,6.98,7.89
466,32,616353,331318,538305,479287,6.03,9.11
467,57,1554327,159948,630217,639670,6.21,2.42
468,58,1683305,473016,312844,769344,7.11,4.01
469,44,1843558,179394,238899,192184,6.23,8.65
470,29,867393,164011,471450,627345,6.12,5.26
471,60,587556,685658,201241,561238,7.37,7.76
472,25,584019,793629,553480,147721,7.53,3.27
473,53,1134422,651816,619627,530120,6.32,10.73
474,35,517066,726123,407689,576597,6.88,9.12
475,59,647813,567379,135938,717915,7.13,8.74
476,46,1343077,504198,677721,364630,6.52,5.85
477,55,948435,714121,512469,613085,6.67,9.41
478,29,1738232,720148,602461,596263,7.14,3.53
479,56,452399,250301,288745,548153,6.84,3.24
480,31,1539070,181927,311169,190024,6.48,4.04
481,52,492018,662400,170247,608003,7.13,10.16
482,50,871529,589009,511858,470939,7.16,3.1
483,33,1300133,422314,312975,319342,6.62,9.83
484,44,1242294,414526,282934,626544,6.51,9.98
485,65,711478,503514,497715,619907,7.06,2.58
486,59,1965196,344483,733918,197209,6.19,4.73
487,56,1667937,310522,658748,222064,5.59,10.85
488,51,425227,463037,566605,180736,6.02,11.93
489,42,1738833,487605,478800,627837,6.34,9.76
490,40,1812597,737150,342624,455621,6.8,11.98
491,58,666278,137516,380225,796201,6.15,5.88
492,38,1775931,395164,265636,333458,6.75,9.08
493,54,1425470,306163,646493,561289,5.6,11.57
494,46,1737243,579849,533792,605208,6.94,4.49
495,60,1561296,256807,188505,159115,7.11,5.43
496,51,1200979,396618,106330,257657,7.28,10.02
497,30,1207159,496029,363282,133037,6.62,11.47
498,60,1565391,548945,143371,684746,7.19,7.94
499,44,1002351,699313,310043,426685,7.21,8.18
500,56,1598884,615109,122509,701224,7.45,6.63
501,27,1192036,340921,483012,145024,6.59,4.65
502,31,561938,610061,687278,559820,6.8,4.44
503,36,1794024,210044,130209,503015,7.06,3.76
504,65,720534,230338,238358,402585,6.97,2.73
505,56,1820100,224290,326389,494128,6.21,8.1
506,52,1814543,700362,105609,593815,7.33,10.25
507,32,1992857,159122,245745,432464,6.6,3.83
508,52,1746157,736956,686697,761756,6.34,10.46
509,40,1368421,517493,204356,373263,7.46,5.86
510,29,680383,168433,163951,262196,6.21,10.86
511,38,1720498,145553,273221,386504,5.94,9.24
512,47,952496,765748,285333,407191,7.84,3.46
513,27,770080,483566,592541,356964,6.93,2.56
514,32,1803892,114860,102752,347507,6.42,8.28
515,39,1359982,236157,609535,735925,6.47,2.1
516,40,688336,608586,605729,449283,7.02,3.52
517,31,788110,327719,313451,561568,6.69,6.1
518,42,656488,795922,434650,249343,7.34,6.91
519,32,1297170,428587,735204,109441,6.12,7.35
520,43,1963043,398603,555693,619376,6.03,10.27
521,49,1297946,329789,424027,361672,6.13,9.99
522,59,687938,782238,508971,389062,7.49,3.04
523,25,1325049,117402,496591,606429,5.44,10.33
524,53,584511,705396,726651,320884,6.88,4.97
525,35,1729187,631721,390246,171854,7.6,3.3
526,26,1448896,704184,743890,642334,6.52,7.77
527,53,1608120,322436,433467,182414,6.55,5.59
528,44,537954,575654,608353,438518,6.71,6.08
529,62,1129601,353281,335405,152012,6.34,11.19
530,29,722146,796829,650984,277704,6.95,6.83
531,65,474811,107015,324785,193408,5.82,6.51
532,56,417731,158781,216213,240042,6.64,4.32
533,28,1265555,370051,385902,106289,6.41,9.81
534,27,1148438,494770,239773,137924,7.74,4.11
535,41,971699,160250,588920,529217,5.52,9.32
536,28,1659115,791774,213327,449405,7.69,6.45
537,29,1576577,690812,336890,142277,7.75,4.47
538,25,1578661,755805,609356,731626,6.47,10.27
539,47,477896,610449,574628,356571,6.7,7.45
540,34,1917328,228707,508251,210887,5.71,9.42
541,44,1759415,615087,453972,745358,6.59,9.28
542,41,1171597,611840,348413,259657,7.18,7.53
543,40,1930675,413265,582866,397310,6.3,7.5
544,44,1013641,582161,565177,554142,6.57,7.88
545,55,616705,312033,335175,416166,6.53,7.21
546,43,741260,288964,686733,196772,6.0,5.72
547,28,1569572,234807,255185,338320,6.59,6.4
548,41,1902336,240441,649433,630829,6.3,3.19
549,28,912061,155203,513103,305440,5.7,7.21
550,27,673014,177309,144688,392550,6.65,6.92
551,57,1419414,701246,130834,386264,7.64,8.76
552,25,1235648,133606,224758,475919,5.85,10.92
553,26,1152301,482109,649883,256110,6.14,9.65
554,36,806881,309460,445883,660092,6.57,4.59
555,51,1043650,267222,599799,505771,5.99,7.16
556,57,1528747,594266,621622,416269,6.89,4.45
557,49,709561,594364,133640,312302,7.51,9.43
558,39,666555,587345,138505,630286,7.76,3.35
559,30,1525232,481194,501690,435065,7.08,2.27
560,58,567065,400680,349946,608550,6.78,5.87
561,45,804397,691037,164889,550014,7.24,10.01
562,48,990379,689130,138019,313695,7.79,7.76
563,33,770444,437310,242436,746809,6.6,9.78
564,35,1542255,156811,128940,558812,6.14,11.08
